1000,1,0.000005,0.000005,1.060573
1000,1,0.000005,0.000007,0.694599
1000,1,0.000005,0.000005,1.040647
1000,2,0.000005,0.000028,0.169100
1000,2,0.000005,0.000032,0.158180
1000,3,0.000005,0.000198,0.024538
1000,4,0.000005,0.000038,0.128896
1000,4,0.000005,0.000212,0.023896
1000,5,0.000005,0.000286,0.016792
1000,5,0.000005,0.000253,0.019581
1000,6,0.000005,0.000055,0.100117
1000,6,0.000005,0.000251,0.019417
1000,7,0.000005,0.000056,0.086372
1000,8,0.000005,0.000056,0.089841
1000,9,0.000005,0.000498,0.009597
1000,10,0.000007,0.000085,0.084682
1000,10,0.000008,0.000096,0.081237
1000,11,0.000007,0.000092,0.079698
1000,11,0.000007,0.000331,0.021901
1000,12,0.000007,0.000101,0.072365
1000,12,0.000006,0.000163,0.034765
1000000,1,0.004608,0.004605,1.000644
1000000,2,0.004567,0.002320,1.968565
1000000,2,0.004586,0.002335,1.964383
1000000,3,0.004576,0.001715,2.667716
1000000,3,0.004622,0.001756,2.632334
1000000,4,0.004726,0.001630,2.899018
1000000,4,0.004655,0.001200,3.879395
1000000,5,0.004623,0.001090,4.243586
1000000,5,0.004567,0.000967,4.722133
1000000,6,0.004674,0.001088,4.296003
1000000,6,0.004621,0.000971,4.757254
1000000,7,0.004564,0.000947,4.821721
1000000,7,0.004563,0.000788,5.792745
1000000,8,0.004601,0.000947,4.855775
1000000,8,0.007097,0.000970,7.317223
1000000,9,0.007049,0.000885,7.968478
1000000,9,0.007056,0.000887,7.959572
1000000,10,0.007105,0.001038,6.844703
1000000,10,0.004721,0.000791,5.968305
1000000,11,0.007064,0.001165,6.065810
1000000,11,0.007101,0.000974,7.288723
1000000,12,0.007104,0.001102,6.448223
1000000,12,0.007087,0.001105,6.414516
100000000,1,0.456001,0.456984,0.997850
100000000,1,0.456577,0.455828,1.001642
100000000,2,0.459968,0.229580,2.003523
100000000,2,0.464370,0.230923,2.010928
100000000,3,0.456242,0.152860,2.984696
100000000,3,0.459093,0.153623,2.988441
100000000,4,0.455960,0.115307,3.954331
100000000,4,0.483347,0.115014,4.202498
100000000,5,0.456573,0.092299,4.946694
100000000,5,0.461925,0.092101,5.015433
100000000,6,0.458585,0.077243,5.936932
100000000,6,0.466735,0.077317,6.036648
100000000,7,0.459183,0.066327,6.923042
100000000,7,0.462098,0.067141,6.882522
100000000,8,0.459620,0.058282,7.886171
100000000,8,0.462991,0.063479,7.293551
100000000,9,0.463333,0.080755,5.737523
100000000,9,0.461359,0.080808,5.709322
100000000,10,0.462343,0.073064,6.327907
100000000,10,0.499465,0.072704,6.869843
100000000,11,0.464915,0.066426,6.999041
100000000,11,0.705333,0.066601,10.590430
100000000,12,0.705360,0.061343,11.498657
100000000,12,0.704533,0.061033,11.543451
100000000,7,0.310957,0.050886,6.110913
10,2,0.000000,0.000319,0.001133
10,3,0.000000,0.000124,0.001937
10,7,0.000000,0.000049,0.005309
